GID_2;NAME_2;CO_MUN_GEO;NO_MUN;SG_UF
BRA.22.1_1;Alta Floresta d'Oeste;1100015;ALTA FLORESTA D'OESTE;RO
BRA.22.5_1;Ariquemes;1100023;ARIQUEMES;RO
BRA.12.19_1;Cabixi;1100031;CABIXI;RO
BRA.22.8_1;Cacoal;1100049;CACOAL;RO
BRA.22.12_1;Cerejeiras;1100056;CEREJEIRAS;RO
BRA.22.14_1;Colorado do Oeste;1100064;COLORADO DO OESTE;RO
BRA.22.15_1;Corumbiara;1100072;CORUMBIARA;RO
BRA.22.16_1;Costa Marques;1100080;COSTA MARQUES;RO
BRA.22.18_1;Espigão d'Oeste;1100098;ESPIGAO D'OESTE;RO
BRA.22.20_1;Guajará-Mirim;1100106;GUAJARA-MIRIM;RO
BRA.22.22_1;Jaru;1100114;JARU;RO
BRA.22.23_1;Ji-Paraná;1100122;JI-PARANA;RO
BRA.22.24_1;Machadinho;1100130;MACHADINHO D'OESTE;RO
BRA.22.28_1;Nova Brasilândia d'Oeste;1100148;NOVA BRASILANDIA D'OESTE;RO
BRA.22.32_1;Ouro Preto do Oeste;1100155;OURO PRETO DO OESTE;RO
BRA.22.34_1;Pimenta Bueno;1100189;PIMENTA BUENO;RO
BRA.22.36_1;Porto Velho;1100205;PORTO VELHO;RO
BRA.22.37_1;Presidente Médici;1100254;PRESIDENTE MEDICI;RO
BRA.22.39_1;Rio Crespo;1100262;RIO CRESPO;RO
BRA.22.40_1;Rolim de Moura;1100288;ROLIM DE MOURA;RO
BRA.22.41_1;Santa Luzia d'Oeste;1100296;SANTA LUZIA D'OESTE;RO
BRA.22.51_1;Vilhena;1100304;VILHENA;RO
BRA.22.44_1;São Miguel do Guaporé;1100320;SAO MIGUEL DO GUAPORE;RO
BRA.22.29_1;Nova Mamoré;1100338;NOVA MAMORE;RO
BRA.22.4_1;Alvorada d'Oeste;1100346;ALVORADA D'OESTE;RO
BRA.22.2_1;Alto Alegre dos Parecis;1100379;ALTO ALEGRE DOS PARECIS;RO
BRA.22.3_1;Alto Paraíso;1100403;ALTO PARAISO;RO
BRA.22.6_1;Buritis;1100452;BURITIS;RO
BRA.22.31_1;Novo Horizonte do Oeste;1100502;NOVO HORIZONTE DO OESTE;RO
BRA.22.7_1;Cacaulândia;1100601;CACAULANDIA;RO
BRA.22.9_1;Campo Novo de Rondônia;1100700;CAMPO NOVO DE RONDONIA;RO
BRA.22.10_1;Candeias do Jamari;1100809;CANDEIAS DO JAMARI;RO
BRA.22.11_1;Castanheiras;1100908;CASTANHEIRAS;RO
BRA.22.13_1;Chupinguaia;1100924;CHUPINGUAIA;RO
BRA.22.17_1;Cujubim;1100940;CUJUBIM;RO
BRA.22.19_1;Governador Jorge Teixeira;1101005;GOVERNADOR JORGE TEIXEIRA;RO
BRA.22.21_1;Itapuã do Oeste;1101104;ITAPUA DO OESTE;RO
BRA.22.25_1;Ministro Andreazza;1101203;MINISTRO ANDREAZZA;RO
BRA.22.26_1;Mirante da Serra;1101302;MIRANTE DA SERRA;RO
BRA.22.27_1;Monte Negro;1101401;MONTE NEGRO;RO
BRA.22.30_1;Nova União;1101435;NOVA UNIAO;RO
BRA.22.33_1;Parecis;1101450;PARECIS;RO
BRA.22.35_1;Pimenteiras do Oeste;1101468;PIMENTEIRAS DO OESTE;RO
BRA.22.38_1;Primavera de Rondônia;1101476;PRIMAVERA DE RONDONIA;RO
BRA.22.42_1;São Felipe d'Oeste;1101484;SAO FELIPE D'OESTE;RO
BRA.22.43_1;São Francisco do Guaporé;1101492;SAO FRANCISCO DO GUAPORE;RO
BRA.22.45_1;Seringueiras;1101500;SERINGUEIRAS;RO
BRA.22.46_1;Teixeirópolis;1101559;TEIXEIROPOLIS;RO
BRA.22.47_1;Theobroma;1101609;THEOBROMA;RO
BRA.22.48_1;Urupá;1101708;URUPA;RO
BRA.22.49_1;Vale do Anari;1101757;VALE DO ANARI;RO
BRA.22.50_1;Vale do Paraíso;1101807;VALE DO PARAISO;RO
BRA.1.1_1;Acrelândia;1200013;ACRELANDIA;AC
BRA.1.2_1;Assis Brazil;1200054;ASSIS BRASIL;AC
BRA.1.3_1;Brasiléia;1200104;BRASILEIA;AC
BRA.1.4_1;Bujari;1200138;BUJARI;AC
BRA.1.5_1;Capixaba;1200179;CAPIXABA;AC
BRA.1.6_1;Cruzeiro do Sul;1200203;CRUZEIRO DO SUL;AC
BRA.1.7_1;Epitaciolândia;1200252;EPITACIOLANDIA;AC
BRA.1.8_1;Feijó;1200302;FEIJO;AC
BRA.1.9_1;Jordão;1200328;JORDAO;AC
BRA.1.10_1;Mâncio Lima;1200336;MANCIO LIMA;AC
BRA.1.11_1;Manoel Urbano;1200344;MANOEL URBANO;AC
BRA.1.12_1;Marechal Thaumaturgo;1200351;MARECHAL THAUMATURGO;AC
BRA.1.13_1;Plácido de Castro;1200385;PLACIDO DE CASTRO;AC
BRA.1.15_1;Porto Walter;1200393;PORTO WALTER;AC
BRA.1.16_1;Rio Branco;1200401;RIO BRANCO;AC
BRA.1.17_1;Rodrigues Alves;1200427;RODRIGUES ALVES;AC
BRA.1.18_1;Santa Rosa do Purus;1200435;SANTA ROSA DO PURUS;AC
BRA.1.20_1;Senador Guiomard;1200450;SENADOR GUIOMARD;AC
BRA.1.19_1;Sena Madureira;1200500;SENA MADUREIRA;AC
BRA.1.21_1;Tarauacá;1200609;TARAUACA;AC
BRA.1.22_1;Xapuri;1200708;XAPURI;AC
BRA.1.14_1;Porto Acre;1200807;PORTO ACRE;AC
BRA.4.1_1;Alvarães;1300029;ALVARAES;AM
BRA.4.2_1;Amaturá;1300060;AMATURA;AM
BRA.4.3_1;Anamã;1300086;ANAMA;AM
BRA.4.4_1;Anori;1300102;ANORI;AM
BRA.4.5_1;Apuí;1300144;APUI;AM
BRA.4.6_1;Atalaia do Norte;1300201;ATALAIA DO NORTE;AM
BRA.4.7_1;Autazes;1300300;AUTAZES;AM
BRA.4.8_1;Barcelos;1300409;BARCELOS;AM
BRA.4.9_1;Barreirinha;1300508;BARREIRINHA;AM
BRA.4.10_1;Benjamin Constant;1300607;BENJAMIN CONSTANT;AM
BRA.4.11_1;Beruri;1300631;BERURI;AM
BRA.4.12_1;Boa Vista do Ramos;1300680;BOA VISTA DO RAMOS;AM
BRA.4.13_1;Boca do Acre;1300706;BOCA DO ACRE;AM
BRA.4.14_1;Borba;1300805;BORBA;AM
BRA.4.15_1;Caapiranga;1300839;CAAPIRANGA;AM
BRA.4.16_1;Canutama;1300904;CANUTAMA;AM
BRA.4.17_1;Carauari;1301001;CARAUARI;AM
BRA.4.19_1;Careiro;1301100;CAREIRO;AM
BRA.4.18_1;Careiro da Várzea;1301159;CAREIRO DA VARZEA;AM
BRA.4.20_1;Coari;1301209;COARI;AM
BRA.4.21_1;Codajás;1301308;CODAJAS;AM
BRA.4.22_1;Eirunepé;1301407;EIRUNEPE;AM
BRA.4.23_1;Envira;1301506;ENVIRA;AM
BRA.4.24_1;Fonte Boa;1301605;FONTE BOA;AM
BRA.4.25_1;Guajará;1301654;GUAJARA;AM
BRA.4.26_1;Humaitá;1301704;HUMAITA;AM
BRA.4.27_1;Ipixuna;1301803;IPIXUNA;AM
BRA.4.28_1;Iranduba;1301852;IRANDUBA;AM
BRA.4.29_1;Itacoatiara;1301902;ITACOATIARA;AM
