NAME_0;GID_2;NAME_2;state;large_port
Brasil;BRA.1.1_1;Acrelândia;AC;0
Brasil;BRA.1.10_1;Mâncio Lima;AC;0
Brasil;BRA.1.11_1;Manoel Urbano;AC;0
Brasil;BRA.1.12_1;Marechal Thaumaturgo;AC;0
Brasil;BRA.1.13_1;Plácido de Castro;AC;0
Brasil;BRA.1.14_1;Porto Acre;AC;0
Brasil;BRA.1.15_1;Porto Walter;AC;0
Brasil;BRA.1.16_1;Rio Branco;AC;0
Brasil;BRA.1.17_1;Rodrigues Alves;AC;0
Brasil;BRA.1.18_1;Santa Rosa do Purus;AC;0
Brasil;BRA.1.19_1;Sena Madureira;AC;0
Brasil;BRA.1.2_1;Assis Brazil;AC;0
Brasil;BRA.1.20_1;Senador Guiomard;AC;0
Brasil;BRA.1.21_1;Tarauacá;AC;0
Brasil;BRA.1.22_1;Xapuri;AC;0
Brasil;BRA.1.3_1;Brasiléia;AC;0
Brasil;BRA.1.4_1;Bujari;AC;0
Brasil;BRA.1.5_1;Capixaba;AC;0
Brasil;BRA.1.6_1;Cruzeiro do Sul;AC;0
Brasil;BRA.1.7_1;Epitaciolândia;AC;0
Brasil;BRA.1.8_1;Feijó;AC;0
Brasil;BRA.1.9_1;Jordão;AC;0
Brasil;BRA.10.1_1;Açailândia;MA;0
Brasil;BRA.10.10_1;Amapá do Maranho;MA;0
Brasil;BRA.10.100_1;Lago do Junco;MA;0
Brasil;BRA.10.101_1;Lago dos Rodrigues;MA;0
Brasil;BRA.10.102_1;Lago Verde;MA;0
Brasil;BRA.10.103_1;Lagoa do Mato;MA;0
Brasil;BRA.10.104_1;Lagoa Grande do Maranhão;MA;0
Brasil;BRA.10.105_1;Lajeado Novo;MA;0
Brasil;BRA.10.106_1;Lima Campos;MA;0
Brasil;BRA.10.107_1;Loreto;MA;0
Brasil;BRA.10.108_1;Luís Domingues;MA;0
Brasil;BRA.10.109_1;Magalhães de Almeida;MA;0
Brasil;BRA.10.11_1;Amarante do Maranhão;MA;0
Brasil;BRA.10.110_1;Maracaçumé;MA;0
Brasil;BRA.10.111_1;Marajá do Sena;MA;0
Brasil;BRA.10.112_1;Maranhãozinho;MA;0
Brasil;BRA.10.113_1;Mata Roma;MA;0
Brasil;BRA.10.114_1;Mates do Norte;MA;0
Brasil;BRA.10.115_1;Matinha;MA;0
Brasil;BRA.10.116_1;Matões;MA;0
Brasil;BRA.10.117_1;Milagres do Maranhão;MA;0
Brasil;BRA.10.118_1;Mirador;MA;0
Brasil;BRA.10.119_1;Miranda do Norte;MA;0
Brasil;BRA.10.12_1;Anajatuba;MA;0
Brasil;BRA.10.120_1;Mirinzal;MA;0
Brasil;BRA.10.121_1;Monção;MA;0
Brasil;BRA.10.122_1;Montes Altos;MA;0
Brasil;BRA.10.123_1;Morros;MA;0
Brasil;BRA.10.124_1;Nina Rodrigues;MA;0
Brasil;BRA.10.125_1;Nova Colinas;MA;0
Brasil;BRA.10.126_1;Nova Iorque;MA;0
Brasil;BRA.10.127_1;Nova Olinda do Maranhão;MA;0
Brasil;BRA.10.128_1;Olho d'Água das Cunhãs;MA;0
Brasil;BRA.10.129_1;Olinda Nova do Maranhão;MA;0
Brasil;BRA.10.13_1;Anapuros;MA;0
Brasil;BRA.10.130_1;Paço do Lumiar;MA;0
Brasil;BRA.10.131_1;Palmeirândia;MA;0
Brasil;BRA.10.132_1;Paraibano;MA;0
Brasil;BRA.10.133_1;Parnarama;MA;0
Brasil;BRA.10.134_1;Passagem Franca;MA;0
Brasil;BRA.10.135_1;Pastos Bons;MA;0
Brasil;BRA.10.136_1;Paulino Neves;MA;0
Brasil;BRA.10.137_1;Paulo Ramos;MA;0
Brasil;BRA.10.138_1;Pedreiras;MA;0
Brasil;BRA.10.139_1;Pedro do Rosário;MA;0
Brasil;BRA.10.14_1;Apicum-Açu;MA;0
Brasil;BRA.10.140_1;Penalva;MA;0
Brasil;BRA.10.141_1;Peri-Mirim;MA;0
Brasil;BRA.10.142_1;Peritoró;MA;0
Brasil;BRA.10.143_1;Pindaré-Mirim;MA;0
Brasil;BRA.10.144_1;Pinheiro;MA;0
Brasil;BRA.10.145_1;Pio XII;MA;0
Brasil;BRA.10.146_1;Pirapemas;MA;0
Brasil;BRA.10.147_1;Poção de Pedras;MA;0
Brasil;BRA.10.148_1;Porto Franco;MA;0
Brasil;BRA.10.149_1;Porto Rico do Maranhão;MA;0
Brasil;BRA.10.15_1;Araguanã;MA;0
Brasil;BRA.10.150_1;Presidente Dutra;MA;0
Brasil;BRA.10.151_1;Presidente Juscelino;MA;0
Brasil;BRA.10.152_1;Presidente Médici;MA;0
Brasil;BRA.10.153_1;Presidente Sarney;MA;0
Brasil;BRA.10.154_1;Presidente Vargas;MA;0
Brasil;BRA.10.155_1;Primeira Cruz;MA;0
Brasil;BRA.10.156_1;Raposa;MA;0
Brasil;BRA.10.157_1;Riachão;MA;0
Brasil;BRA.10.158_1;Ribamar Fiquene;MA;0
Brasil;BRA.10.159_1;Rosário;MA;0
Brasil;BRA.10.16_1;Araioses;MA;0
Brasil;BRA.10.160_1;Sambaíba;MA;0
Brasil;BRA.10.161_1;Santa Fé de Goiás;GO;0
Brasil;BRA.10.162_1;Santa Helena;MA;0
Brasil;BRA.10.163_1;Santa Inês;MA;0
Brasil;BRA.10.164_1;Santa Luzia do Paruá;MA;0
Brasil;BRA.10.165_1;Santa Luzia;MA;0
Brasil;BRA.10.166_1;Santa Quitéria do Maranhão;MA;0
Brasil;BRA.10.167_1;Santa Rita;MA;0
Brasil;BRA.10.168_1;Santana do Maranhão;MA;0
Brasil;BRA.10.169_1;Santo Amaro do Maranhão;MA;0
Brasil;BRA.10.17_1;Arame;MA;0
